date,f_open,f_high,f_low,f_close,f_adj_close
2017-01-24,2274.5,2280.5,2259.5,2260.75,1273116
2017-01-25,2294.0,2295.25,2274.75,2275.75,1386477
2017-01-26,2294.0,2299.5,2289.5,2293.75,1170427
2017-01-27,2289.0,2296.75,2287.0,2294.0,942076
2017-01-30,2276.0,2285.75,2263.25,2282.0,1850992
2017-01-31,2274.5,2278.25,2262.25,2275.75,1628810
2017-02-01,2274.5,2285.0,2268.25,2277.0,1565006
2017-02-02,2275.5,2279.75,2264.5,2275.0,1414426
2017-02-03,2291.0,2294.0,2270.5,2274.0,1415043
2017-02-06,2286.5,2294.25,2283.5,2293.0,1164914
2017-02-07,2288.5,2295.0,2284.0,2286.25,1202059
2017-02-08,2290.25,2292.0,2281.0,2285.75,1283261
